# frequency_cm^-1 signal
7.250733840365719516e+02 1.723726236721327965e+01
7.265902739613345602e+02 1.310594119935075241e+01
7.281071638860972826e+02 7.859197033306092983e+00
7.296240538108598912e+02 1.938024506717192397e+00
7.311409437356227272e+02 -4.168631314664499321e+00
7.326578336603853359e+02 -9.963287824535763448e+00
7.341747235851480582e+02 -1.497974566974833621e+01
7.356916135099107805e+02 -1.882016037734502589e+01
7.372085034346735029e+02 -2.118643960936507398e+01
7.387253933594362252e+02 -2.190350278387256466e+01
7.402422832841988338e+02 -2.093259453947770155e+01
7.417591732089615562e+02 -1.837363869229922386e+01
7.432760631337243922e+02 -1.445649167195880125e+01
7.447929530584870008e+02 -9.521834777370612457e+00
7.463098429832497231e+02 -3.993263403383285670e+00
7.478267329080123318e+02 1.657175827576831351e+00
7.493436228327751678e+02 6.947236673283648578e+00
7.508605127575378901e+02 1.142345813247207431e+01
7.523774026823004988e+02 1.469777764705570355e+01
7.538942926070632211e+02 1.647886419883893794e+01
7.554111825318259434e+02 1.659568896508410418e+01
7.569280724565886658e+02 1.501147262364695401e+01
7.584449623813512744e+02 1.182691548075026589e+01
7.599618523061139967e+02 7.272468309820017573e+00
7.614787422308768328e+02 1.690270600233038101e+00
7.629956321556394414e+02 -4.492799882821792323e+00
7.645125220804021637e+02 -1.079882117344235759e+01
7.660294120051647724e+02 -1.673658976261449283e+01
7.675463019299276084e+02 -2.184045938468584325e+01
7.690631918546903307e+02 -2.570718322285472368e+01
7.705800817794529394e+02 -2.802784947283716832e+01
7.720969717042156617e+02 -2.861239232755791662e+01
7.736138616289783840e+02 -2.740475053477368661e+01
7.751307515537411064e+02 -2.448748668202073020e+01
7.766476414785037150e+02 -2.007551344024138729e+01
7.781645314032664373e+02 -1.449943219846480957e+01
7.796814213280290460e+02 -8.179807008795629386e+00
7.811983112527918820e+02 -1.594408165728220972e+00
7.827152011775546043e+02 4.758990762251216644e+00
7.842320911023172130e+02 1.040133395634469160e+01
7.857489810270799353e+02 1.490948071887564019e+01
7.872658709518427713e+02 1.794896404498673803e+01
7.887827608766053800e+02 1.929975097044284027e+01
7.902996508013681023e+02 1.887300151020371075e+01
7.918165407261307109e+02 1.671753538509841519e+01
7.933334306508935470e+02 1.301552771066561220e+01
7.948503205756561556e+02 8.067802160947838530e+00
7.963672105004188779e+02 2.269905994563491625e+00
7.978841004251816003e+02 -3.919128402396865329e+00
7.994009903499443226e+02 -1.001286255321387131e+01
8.009178802747070449e+02 -1.553552662887049607e+01
8.024347701994696536e+02 -2.005909795912846505e+01
8.039516601242323759e+02 -2.323648009814509052e+01
8.054685500489952119e+02 -2.482819592545305909e+01
8.069854399737578206e+02 -2.472052724370659860e+01
8.085023298985205429e+02 -2.293371304263416377e+01
8.100192198232831515e+02 -1.961960496301432499e+01
8.115361097480459875e+02 -1.504900923309763527e+01
8.130529996728087099e+02 -9.589753908303038088e+00
8.145698895975713185e+02 -3.677244975838726226e+00
8.160867795223340408e+02 2.220141940789636337e+00
8.176036694470967632e+02 7.638091292475934324e+00
8.191205593718594855e+02 1.215287688684506051e+01
8.206374492966220942e+02 1.541452065568429752e+01
8.221543392213848165e+02 1.717398819811642241e+01
8.236712291461476525e+02 1.730230863648385053e+01
8.251881190709102611e+02 1.580015079440746106e+01
8.267050089956729835e+02 1.279714498004266687e+01
8.282218989204355921e+02 8.541049630920596769e+00
8.297387888451983144e+02 3.377660746522729074e+00
8.312556787699611505e+02 -2.276913442186594860e+00
8.327725686947237591e+02 -7.969396473291646465e+00
8.342894586194864814e+02 -1.324527364193629708e+01
8.358063485442490901e+02 -1.768466777924966493e+01
8.373232384690119261e+02 -2.093533759204106204e+01
8.388401283937745347e+02 -2.274021442657225123e+01
8.403570183185372571e+02 -2.295733469366227553e+01
8.418739082432998657e+02 -2.157063315144612403e+01
8.433907981680627017e+02 -1.869078812988706773e+01
8.449076880928254241e+02 -1.454609587783076741e+01
8.464245780175880327e+02 -9.464135330845357075e+00
8.479414679423507550e+02 -3.845705006137748239e+00
8.494583578671135911e+02 1.866885975912492057e+00
8.509752477918761997e+02 7.224657223084918201e+00
8.524921377166389220e+02 1.180717776388821783e+01
8.540090276414015307e+02 1.525540302855760544e+01
8.555259175661643667e+02 1.729956447058237501e+01
8.570428074909269753e+02 1.777995008451900105e+01
8.585596974156896977e+02 1.665898372127999849e+01
8.600765873404524200e+02 1.402370271010462766e+01
